Order Reference,Vendor,Order Deadline,Expected Arrival,Vendor Reference,Order Lines/Products,Order Lines/Quantity,Order Lines/Unit Price,Order Lines/Taxes,Payment Terms
PO2025-0045,Supplier 14,2025-09-19,2025-09-22,VREF-5082,PROD043,48,45.8,TVA 20%,Immediate Payment
PO2025-0046,Supplier 3,2025-10-06,2025-10-13,VREF-2772,PROD042,32,457.82,TVA 20%,End of Month
PO2025-0046,Supplier 3,2025-10-06,2025-10-13,VREF-2772,P0022,44,245.73,TVA 20%,End of Month
PO2025-0047,Supplier 4,2025-10-31,2025-11-04,VREF-1117,P0023,42,215.87,TVA 20%,15 Days
PO2025-0047,Supplier 4,2025-10-31,2025-11-04,VREF-1117,P0008,2,88.95,TVA 20%,15 Days
PO2025-0047,Supplier 4,2025-10-31,2025-11-04,VREF-1117,PROD006,28,241.37,TVA 20%,15 Days
PO2025-0048,Supplier 28,2025-11-10,2025-11-16,VREF-2995,PROD020,28,129.68,TVA 20%,Immediate Payment
PO2025-0048,Supplier 28,2025-11-10,2025-11-16,VREF-2995,PROD021,24,491.22,TVA 20%,Immediate Payment
PO2025-0048,Supplier 28,2025-11-10,2025-11-16,VREF-2995,PROD017,44,115.65,TVA 20%,Immediate Payment
PO2025-0049,Supplier 25,2025-10-01,2025-10-04,VREF-1661,P0001,6,127.91,TVA 20%,30 Days
PO2025-0049,Supplier 25,2025-10-01,2025-10-04,VREF-1661,PROD016,48,204.3,TVA 20%,30 Days
PO2025-0050,Supplier 27,2025-09-20,2025-09-22,VREF-9690,P0027,9,332.39,TVA 20%,15 Days
PO2025-0051,Supplier 14,2025-09-16,2025-09-22,VREF-2592,PROD050,3,100.88,TVA 20%,End of Month
PO2025-0051,Supplier 14,2025-09-16,2025-09-22,VREF-2592,P0023,50,326.93,TVA 20%,End of Month
PO2025-0051,Supplier 14,2025-09-16,2025-09-22,VREF-2592,P0004,15,277.38,TVA 20%,End of Month
PO2025-0051,Supplier 14,2025-09-16,2025-09-22,VREF-2592,P0023,6,400.68,TVA 20%,End of Month
PO2025-0052,Supplier 31,2025-09-14,2025-09-17,VREF-9060,P0010,14,299.46,TVA 20%,30 Days
PO2025-0052,Supplier 31,2025-09-14,2025-09-17,VREF-9060,P0003,31,124.46,TVA 20%,30 Days
PO2025-0053,Supplier 14,2025-09-22,2025-10-02,VREF-6186,P0020,6,467.73,TVA 20%,30 Days
PO2025-0053,Supplier 14,2025-09-22,2025-10-02,VREF-6186,PROD002,9,459.17,TVA 20%,30 Days
PO2025-0054,Supplier 28,2025-09-07,2025-09-14,VREF-7770,PROD018,9,57.08,TVA 20%,End of Month
PO2025-0055,Supplier 4,2025-10-09,2025-10-19,VREF-4688,PROD027,14,197.61,TVA 20%,Immediate Payment
PO2025-0055,Supplier 4,2025-10-09,2025-10-19,VREF-4688,PROD027,34,478.9,TVA 20%,Immediate Payment
PO2025-0056,Supplier 25,2025-10-11,2025-10-17,VREF-8906,P0009,44,125.33,TVA 20%,15 Days
PO2025-0057,Supplier 6,2025-10-02,2025-10-06,VREF-5881,PROD013,29,99.71,TVA 20%,End of Month
PO2025-0057,Supplier 6,2025-10-02,2025-10-06,VREF-5881,PROD003,22,468.28,TVA 20%,End of Month
PO2025-0058,Supplier 26,2025-10-21,2025-10-27,VREF-9202,P0021,8,357.25,TVA 20%,End of Month
PO2025-0058,Supplier 26,2025-10-21,2025-10-27,VREF-9202,P0028,47,81.61,TVA 20%,End of Month
PO2025-0058,Supplier 26,2025-10-21,2025-10-27,VREF-9202,PROD042,16,383.39,TVA 20%,End of Month
PO2025-0059,Supplier 26,2025-10-14,2025-10-19,VREF-8469,P0022,6,180.87,TVA 20%,15 Days
PO2025-0059,Supplier 26,2025-10-14,2025-10-19,VREF-8469,PROD016,10,386.68,TVA 20%,15 Days
PO2025-0059,Supplier 26,2025-10-14,2025-10-19,VREF-8469,P0004,40,392.07,TVA 20%,15 Days
PO2025-0060,Supplier 2,2025-10-12,2025-10-17,VREF-2084,P0004,41,117.1,TVA 20%,Immediate Payment
PO2025-0060,Supplier 2,2025-10-12,2025-10-17,VREF-2084,PROD036,41,496.27,TVA 20%,Immediate Payment
PO2025-0060,Supplier 2,2025-10-12,2025-10-17,VREF-2084,PROD011,35,199.11,TVA 20%,Immediate Payment
PO2025-0060,Supplier 2,2025-10-12,2025-10-17,VREF-2084,PROD048,39,117.81,TVA 20%,Immediate Payment
PO2025-0061,Supplier 14,2025-09-08,2025-09-14,VREF-5624,PROD002,30,12.56,TVA 20%,End of Month
PO2025-0061,Supplier 14,2025-09-08,2025-09-14,VREF-5624,P0007,19,98.3,TVA 20%,End of Month
PO2025-0062,Supplier 11,2025-10-25,2025-10-30,VREF-5475,PROD050,40,130.82,TVA 20%,Immediate Payment
PO2025-0063,Supplier 4,2025-11-13,2025-11-18,VREF-6543,PROD045,38,418.82,TVA 20%,15 Days
PO2025-0064,Supplier 11,2025-10-08,2025-10-18,VREF-7220,PROD032,29,284.32,TVA 20%,30 Days
PO2025-0065,Supplier 26,2025-11-30,2025-12-10,VREF-2392,P0024,20,382.28,TVA 20%,30 Days
PO2025-0065,Supplier 26,2025-11-30,2025-12-10,VREF-2392,PROD014,42,317.31,TVA 20%,30 Days
PO2025-0066,Supplier 12,2025-11-04,2025-11-07,VREF-9788,P0003,38,486.99,TVA 20%,Immediate Payment
PO2025-0066,Supplier 12,2025-11-04,2025-11-07,VREF-9788,P0007,32,476.1,TVA 20%,Immediate Payment
PO2025-0067,Supplier 19,2025-09-18,2025-09-24,VREF-3107,P0015,16,347.51,TVA 20%,End of Month
PO2025-0067,Supplier 19,2025-09-18,2025-09-24,VREF-3107,PROD007,9,276.07,TVA 20%,End of Month
PO2025-0068,Supplier 11,2025-09-11,2025-09-14,VREF-8669,PROD019,16,266.23,TVA 20%,30 Days
PO2025-0069,Supplier 31,2025-10-27,2025-11-05,VREF-3712,P0009,25,212.58,TVA 20%,Immediate Payment
PO2025-0070,Supplier 27,2025-09-13,2025-09-22,VREF-3187,PROD044,4,66.17,TVA 20%,15 Days
PO2025-0070,Supplier 27,2025-09-13,2025-09-22,VREF-3187,P0027,32,497.56,TVA 20%,15 Days
PO2025-0071,Supplier 1,2025-10-25,2025-11-03,VREF-5410,PROD007,34,18.04,TVA 20%,Immediate Payment
PO2025-0071,Supplier 1,2025-10-25,2025-11-03,VREF-5410,P0016,3,82.17,TVA 20%,Immediate Payment
PO2025-0071,Supplier 1,2025-10-25,2025-11-03,VREF-5410,PROD032,32,115.37,TVA 20%,Immediate Payment
PO2025-0072,Supplier 6,2025-09-03,2025-09-09,VREF-9826,PROD041,10,306.28,TVA 20%,Immediate Payment
PO2025-0072,Supplier 6,2025-09-03,2025-09-09,VREF-9826,PROD018,17,401.73,TVA 20%,Immediate Payment
PO2025-0073,Supplier 10,2025-09-08,2025-09-13,VREF-7592,P0006,35,419.37,TVA 20%,End of Month
PO2025-0073,Supplier 10,2025-09-08,2025-09-13,VREF-7592,PROD026,12,352.39,TVA 20%,End of Month
PO2025-0073,Supplier 10,2025-09-08,2025-09-13,VREF-7592,PROD049,28,192.15,TVA 20%,End of Month
PO2025-0073,Supplier 10,2025-09-08,2025-09-13,VREF-7592,PROD049,3,119.27,TVA 20%,End of Month
PO2025-0074,Supplier 28,2025-11-27,2025-12-07,VREF-6571,PROD005,30,56.56,TVA 20%,Immediate Payment
PO2025-0074,Supplier 28,2025-11-27,2025-12-07,VREF-6571,P0029,27,15.72,TVA 20%,Immediate Payment
PO2025-0074,Supplier 28,2025-11-27,2025-12-07,VREF-6571,P0006,13,482.86,TVA 20%,Immediate Payment
PO2025-0075,Supplier 13,2025-10-08,2025-10-17,VREF-5842,PROD018,15,307.49,TVA 20%,End of Month
PO2025-0075,Supplier 13,2025-10-08,2025-10-17,VREF-5842,P0019,34,389.88,TVA 20%,End of Month
PO2025-0075,Supplier 13,2025-10-08,2025-10-17,VREF-5842,PROD027,5,189.33,TVA 20%,End of Month
PO2025-0075,Supplier 13,2025-10-08,2025-10-17,VREF-5842,PROD008,36,47.06,TVA 20%,End of Month
PO2025-0076,Supplier 17,2025-10-17,2025-10-20,VREF-7951,PROD020,23,296.28,TVA 20%,15 Days
PO2025-0077,Supplier 2,2025-11-07,2025-11-11,VREF-3430,P0025,9,490.43,TVA 20%,End of Month
PO2025-0077,Supplier 2,2025-11-07,2025-11-11,VREF-3430,PROD045,41,49.49,TVA 20%,End of Month
PO2025-0077,Supplier 2,2025-11-07,2025-11-11,VREF-3430,P0022,33,183.22,TVA 20%,End of Month
PO2025-0078,Supplier 8,2025-12-08,2025-12-14,VREF-1581,P0020,2,446.66,TVA 20%,Immediate Payment
PO2025-0078,Supplier 8,2025-12-08,2025-12-14,VREF-1581,PROD003,26,469.92,TVA 20%,Immediate Payment
PO2025-0078,Supplier 8,2025-12-08,2025-12-14,VREF-1581,P0007,20,27.86,TVA 20%,Immediate Payment
PO2025-0078,Supplier 8,2025-12-08,2025-12-14,VREF-1581,P0002,39,207.43,TVA 20%,Immediate Payment
PO2025-0079,Supplier 26,2025-11-03,2025-11-07,VREF-8263,PROD002,29,81.5,TVA 20%,15 Days
PO2025-0079,Supplier 26,2025-11-03,2025-11-07,VREF-8263,P0003,1,29.53,TVA 20%,15 Days
PO2025-0079,Supplier 26,2025-11-03,2025-11-07,VREF-8263,PROD026,13,105.48,TVA 20%,15 Days
PO2025-0080,Supplier 6,2025-11-13,2025-11-19,VREF-1413,PROD013,42,74.56,TVA 20%,30 Days
PO2025-0080,Supplier 6,2025-11-13,2025-11-19,VREF-1413,PROD010,27,448.21,TVA 20%,30 Days
PO2025-0081,Supplier 24,2025-09-26,2025-09-28,VREF-1088,P0004,21,268.73,TVA 20%,End of Month
PO2025-0081,Supplier 24,2025-09-26,2025-09-28,VREF-1088,P0014,40,451.39,TVA 20%,End of Month
PO2025-0081,Supplier 24,2025-09-26,2025-09-28,VREF-1088,P0019,23,135.9,TVA 20%,End of Month
PO2025-0081,Supplier 24,2025-09-26,2025-09-28,VREF-1088,P0014,16,328.38,TVA 20%,End of Month
PO2025-0082,Supplier 33,2025-10-02,2025-10-07,VREF-8229,P0003,29,335.09,TVA 20%,End of Month
PO2025-0082,Supplier 33,2025-10-02,2025-10-07,VREF-8229,P0001,26,228.26,TVA 20%,End of Month
PO2025-0082,Supplier 33,2025-10-02,2025-10-07,VREF-8229,P0004,23,174.75,TVA 20%,End of Month
PO2025-0082,Supplier 33,2025-10-02,2025-10-07,VREF-8229,PROD010,34,132.4,TVA 20%,End of Month
PO2025-0083,Supplier 33,2025-10-19,2025-10-22,VREF-9687,P0009,42,299.67,TVA 20%,Immediate Payment
PO2025-0083,Supplier 33,2025-10-19,2025-10-22,VREF-9687,PROD039,25,190.87,TVA 20%,Immediate Payment
PO2025-0083,Supplier 33,2025-10-19,2025-10-22,VREF-9687,PROD038,9,366.34,TVA 20%,Immediate Payment
PO2025-0083,Supplier 33,2025-10-19,2025-10-22,VREF-9687,P0017,3,295.59,TVA 20%,Immediate Payment
PO2025-0084,Supplier 16,2025-09-17,2025-09-25,VREF-7287,P0008,19,232.16,TVA 20%,Immediate Payment
PO2025-0084,Supplier 16,2025-09-17,2025-09-25,VREF-7287,PROD039,37,471.04,TVA 20%,Immediate Payment
PO2025-0084,Supplier 16,2025-09-17,2025-09-25,VREF-7287,PROD015,42,487.53,TVA 20%,Immediate Payment
PO2025-0085,Supplier 17,2025-10-15,2025-10-23,VREF-5667,PROD044,20,391.69,TVA 20%,15 Days
PO2025-0085,Supplier 17,2025-10-15,2025-10-23,VREF-5667,P0025,37,140.8,TVA 20%,15 Days
PO2025-0085,Supplier 17,2025-10-15,2025-10-23,VREF-5667,PROD032,35,248.32,TVA 20%,15 Days
PO2025-0086,Supplier 20,2025-10-25,2025-10-30,VREF-5027,P0027,41,150.13,TVA 20%,30 Days
PO2025-0086,Supplier 20,2025-10-25,2025-10-30,VREF-5027,PROD019,1,125.16,TVA 20%,30 Days
PO2025-0086,Supplier 20,2025-10-25,2025-10-30,VREF-5027,PROD024,41,367.09,TVA 20%,30 Days
PO2025-0086,Supplier 20,2025-10-25,2025-10-30,VREF-5027,PROD047,26,94.54,TVA 20%,30 Days
PO2025-0087,Supplier 13,2025-12-01,2025-12-03,VREF-7681,P0019,49,420.65,TVA 20%,Immediate Payment
PO2025-0088,Supplier 15,2025-10-06,2025-10-12,VREF-5723,PROD020,15,69.89,TVA 20%,End of Month
PO2025-0089,Supplier 1,2025-10-26,2025-10-28,VREF-6149,PROD031,15,340.56,TVA 20%,15 Days
PO2025-0089,Supplier 1,2025-10-26,2025-10-28,VREF-6149,P0022,19,450.11,TVA 20%,15 Days
PO2025-0089,Supplier 1,2025-10-26,2025-10-28,VREF-6149,PROD020,26,445.74,TVA 20%,15 Days
PO2025-0090,Supplier 27,2025-10-23,2025-10-27,VREF-3828,P0003,16,212.73,TVA 20%,15 Days
PO2025-0090,Supplier 27,2025-10-23,2025-10-27,VREF-3828,PROD013,17,15.43,TVA 20%,15 Days
PO2025-0090,Supplier 27,2025-10-23,2025-10-27,VREF-3828,PROD019,36,448.75,TVA 20%,15 Days
PO2025-0091,Supplier 7,2025-10-09,2025-10-19,VREF-3771,PROD015,1,241.27,TVA 20%,Immediate Payment
PO2025-0091,Supplier 7,2025-10-09,2025-10-19,VREF-3771,PROD030,11,115.92,TVA 20%,Immediate Payment
PO2025-0091,Supplier 7,2025-10-09,2025-10-19,VREF-3771,P0001,37,174.38,TVA 20%,Immediate Payment
PO2025-0092,Supplier 9,2025-10-05,2025-10-09,VREF-9378,PROD005,35,169.97,TVA 20%,30 Days
PO2025-0092,Supplier 9,2025-10-05,2025-10-09,VREF-9378,PROD013,41,399.0,TVA 20%,30 Days
PO2025-0092,Supplier 9,2025-10-05,2025-10-09,VREF-9378,P0007,15,220.7,TVA 20%,30 Days
PO2025-0092,Supplier 9,2025-10-05,2025-10-09,VREF-9378,PROD009,46,217.98,TVA 20%,30 Days
PO2025-0093,Supplier 18,2025-10-20,2025-10-26,VREF-9019,PROD045,15,436.66,TVA 20%,End of Month
PO2025-0093,Supplier 18,2025-10-20,2025-10-26,VREF-9019,PROD017,22,196.54,TVA 20%,End of Month
PO2025-0093,Supplier 18,2025-10-20,2025-10-26,VREF-9019,PROD023,49,154.63,TVA 20%,End of Month
PO2025-0093,Supplier 18,2025-10-20,2025-10-26,VREF-9019,PROD005,14,366.18,TVA 20%,End of Month
PO2025-0094,Supplier 25,2025-09-18,2025-09-20,VREF-7486,PROD016,18,86.91,TVA 20%,30 Days
PO2025-0095,Supplier 9,2025-10-05,2025-10-10,VREF-8010,PROD034,36,447.95,TVA 20%,End of Month
PO2025-0095,Supplier 9,2025-10-05,2025-10-10,VREF-8010,PROD017,14,495.46,TVA 20%,End of Month
